[2018-04-07 00:15:40,953 : INFO : run.py : 41 :             <module>() ] Main started
[2018-04-07 00:15:41,553 : INFO : player.py : 32 :             __init__() ] Player instance
[2018-04-07 00:15:46,414 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:46,415 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:46,597 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:46,597 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:46,765 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:46,765 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:46,952 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:46,952 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:47,149 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:47,149 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:47,308 : DEBUG : game_functions.py : 36 : check_keydown_events() ] Only 5 shots for each session
[2018-04-07 00:15:47,453 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:47,453 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:47,645 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:47,645 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:53,301 : DEBUG : game_functions.py : 28 : check_keydown_events() ] move left
[2018-04-07 00:15:53,437 : DEBUG : game_functions.py : 51 :   check_keyup_events() ] stop left
[2018-04-07 00:15:53,589 : INFO : bullet.py : 25 :             __init__() ] Bullet instance
[2018-04-07 00:15:53,589 : DEBUG : game_functions.py : 34 : check_keydown_events() ] Shoot bullet
[2018-04-07 00:15:55,389 : DEBUG : game_functions.py : 25 : check_keydown_events() ] move right
[2018-04-07 00:15:55,469 : DEBUG : game_functions.py : 48 :   check_keyup_events() ] stop right
[2018-04-07 00:15:55,597 : DEBUG : game_functions.py : 25 : check_keydown_events() ] move right
[2018-04-07 00:15:55,693 : DEBUG : game_functions.py : 48 :   check_keyup_events() ] stop right
[2018-04-07 00:15:55,837 : DEBUG : game_functions.py : 25 : check_keydown_events() ] move right
[2018-04-07 00:15:55,925 : DEBUG : game_functions.py : 48 :   check_keyup_events() ] stop right
[2018-04-07 00:15:56,053 : DEBUG : game_functions.py : 25 : check_keydown_events() ] move right
[2018-04-07 00:15:56,125 : DEBUG : game_functions.py : 48 :   check_keyup_events() ] stop right
[2018-04-07 00:15:56,477 : DEBUG : game_functions.py : 28 : check_keydown_events() ] move left
[2018-04-07 00:15:56,556 : DEBUG : game_functions.py : 51 :   check_keyup_events() ] stop left
[2018-04-07 00:15:56,717 : DEBUG : game_functions.py : 28 : check_keydown_events() ] move left
[2018-04-07 00:15:56,749 : DEBUG : game_functions.py : 51 :   check_keyup_events() ] stop left
[2018-04-07 00:15:56,974 : DEBUG : game_functions.py : 28 : check_keydown_events() ] move left
[2018-04-07 00:15:57,061 : DEBUG : game_functions.py : 51 :   check_keyup_events() ] stop left
[2018-04-07 00:15:57,197 : DEBUG : game_functions.py : 28 : check_keydown_events() ] move left
[2018-04-07 00:15:57,269 : DEBUG : game_functions.py : 51 :   check_keyup_events() ] stop left
[2018-04-07 00:15:57,405 : DEBUG : game_functions.py : 28 : check_keydown_events() ] move left
[2018-04-07 00:15:57,502 : DEBUG : game_functions.py : 51 :   check_keyup_events() ] stop left
[2018-04-07 00:15:58,853 : DEBUG : game_functions.py : 25 : check_keydown_events() ] move right
[2018-04-07 00:15:58,925 : DEBUG : game_functions.py : 48 :   check_keyup_events() ] stop right
[2018-04-07 00:15:59,053 : DEBUG : game_functions.py : 25 : check_keydown_events() ] move right
[2018-04-07 00:15:59,117 : DEBUG : game_functions.py : 48 :   check_keyup_events() ] stop right
[2018-04-07 00:16:01,245 : DEBUG : game_functions.py : 43 : check_keydown_events() ] Move bottom
[2018-04-07 00:16:01,341 : DEBUG : game_functions.py : 57 :   check_keyup_events() ] stop bottom
[2018-04-07 00:16:02,653 : DEBUG : game_functions.py : 43 : check_keydown_events() ] Move bottom
[2018-04-07 00:16:02,749 : DEBUG : game_functions.py : 57 :   check_keyup_events() ] stop bottom
[2018-04-07 00:16:02,877 : DEBUG : game_functions.py : 43 : check_keydown_events() ] Move bottom
[2018-04-07 00:16:02,932 : DEBUG : game_functions.py : 57 :   check_keyup_events() ] stop bottom
[2018-04-07 00:16:03,077 : DEBUG : game_functions.py : 43 : check_keydown_events() ] Move bottom
[2018-04-07 00:16:03,132 : DEBUG : game_functions.py : 57 :   check_keyup_events() ] stop bottom
[2018-04-07 00:16:03,325 : DEBUG : game_functions.py : 40 : check_keydown_events() ] Move top
[2018-04-07 00:16:03,452 : DEBUG : game_functions.py : 54 :   check_keyup_events() ] stop top
[2018-04-07 00:16:03,533 : DEBUG : game_functions.py : 40 : check_keydown_events() ] Move top
[2018-04-07 00:16:03,614 : DEBUG : game_functions.py : 54 :   check_keyup_events() ] stop top
[2018-04-07 00:16:03,701 : DEBUG : game_functions.py : 40 : check_keydown_events() ] Move top
[2018-04-07 00:16:03,756 : DEBUG : game_functions.py : 54 :   check_keyup_events() ] stop top
